ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
24;41;6;podvod                                  ; 1 911;  535;  28; 110 983;  264;  1;  ;  ;  13;  757;  ;  14;  1;  
24;42;6;poruš.autorských práv                   ;  41;  6;  15;  293;  7;  ;  ;  ;  ;  13;  ;  ;  ;  
23;;1;NÁSILNÁ  KRIMINALITA                    ; 5 280; 3 949;  75;  967;  324; 1 637;  28;  53;  235; 4 434;  69;  255; 1 665;  23
23;1;1;vraždy                                  ;  63;  50;  79;  ;  4;  14;  4;  ;  5;  55;  ;  4;  15;  4
23;2;1;lúpeže                                  ;  325;  244;  75;  166;  16;  46;  2;  18;  71;  345;  27;  87;  55;  2
23;3;1;násilie na verej.činit.                 ;  252;  211;  84;  3;  4;  96;  2;  ;  3;  225;  ;  3;  106;  1
23;4;1;      - z toho na policajtovi           ;  193;  174;  90;  2;  3;  87;  2;  ;  3;  186;  ;  3;  96;  1
23;5;1;úmyslené ublíženie na zdraví            ; 1 269;  903;  71;  6;  166;  358;  3;  14;  79; 1 187;  15;  85;  397;  3
23;6;1;s rasovým mot.,extrémizmus              ;  115;  42;  37;  ;  27;  6;  ;  ;  5;  74;  ;  5;  8;  
23;7;1;organizovaný zločin                     ;  41;  22;  54; 5 425;  13;  ;  1;  ;  2;  108;  ;  1;  ;  
23;;2;MRAVNOSTNÁ  KRIMINALITA                 ; 1 112;  606;  54;  ;  111;  47;  1;  56;  274;  664;  61;  270;  46;  1
23;8;2;znásilnenie                             ;  93;  57;  61;  ;  8;  14;  ;  1;  6;  52;  2;  5;  12;  
23;9;2;pohlavné zneužívanie                    ;  468;  335;  72;  ;  33;  13;  1;  31;  184;  366;  35;  191;  14;  1
23;10;2;obchodovanie s ľuďmi                    ;  22;  8;  36;  ;  4;  ;  ;  ;  ;  23;  ;  ;  ;  
23;;3;MAJETKOVÁ  KRIMINALITA                  ; 18 715; 8 400;  45; 34 046;  540;  878;  20;  389; 1 083; 9 086;  512; 1 118;  854;  15
23;11;3;krádeže vlámaním                        ; 3 725; 1 268;  34; 8 856;  170;  95;  1;  84;  298; 1 731;  138;  346;  104;  
23;12;3;   - škoda značná a vyššia              ;  40;  5;  13; 3 123;  3;  ;  ;  ;  ;  18;  ;  ;  ;  
23;13;3;   - do obchodov a výkl.skríň           ;  428;  163;  38; 1 054;  24;  21;  ;  6;  37;  186;  8;  32;  23;  
23;14;3;       - škoda značná a vyššia          ;  4;  1;  25;  319;  2;  ;  ;  ;  ;  7;  ;  ;  ;  
23;15;3;   - do reštaurácií a stánkov           ;  189;  88;  47;  210;  11;  11;  ;  7;  27;  105;  7;  23;  10;  
23;16;3;       - škoda značná a vyššia          ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
23;17;3;   - do bytov                           ;  651;  298;  46; 1 962;  38;  22;  ;  16;  78;  422;  27;  94;  30;  
23;18;3;       - škoda značná a vyššia          ;  10;  ;  ;  845;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
23;19;3;   - do rekreačných chát                ;  300;  96;  32;  434;  13;  13;  ;  4;  20;  162;  12;  31;  17;  
23;20;3;       - škoda značná a vyššia          ;  1;  ;  ;  103;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
23;21;3;krádeže ostatné                         ; 11 442; 5 949;  52; 21 213;  284;  538;  13;  213;  635; 6 027;  239;  611;  503;  11
23;22;3;   - motorových vozidiel                ;  982;  491;  50; 6 792;  34;  68;  3;  5;  131;  506;  5;  134;  58;  3
23;23;3;   - vecí a súčiastok z áut             ; 1 900;  247;  13; 3 033;  37;  10;  ;  8;  49;  295;  12;  41;  13;  
23;24;3;   - v bytoch                           ;  579;  281;  49; 1 952;  21;  19;  1;  6;  27;  283;  9;  29;  15;  1
23;25;3;ostatné majetkové                       ; 3 548; 1 183;  33; 3 976;  86;  245;  6;  92;  150; 1 328;  135;  161;  247;  4
